judgment_id,reference_start,reference_end,primary_anchor_atom_if_known,judgment_type,structural_function,hierarchy_relation,related_reference,related_judgment_id_if_available,linguistic_basis,source_evidence_ids,source_layers,methodological_note,review_status,reviewer_notes
HSA011,2:10,2:10,,HUMAN_STRUCTURAL_ADJUDICATION,PARALLEL_ENDING,PARALLEL_TO,"[""1:22""]","[""HSA008""]","בכל זאת לא חטא איוב בשפתיו; R4.2 대응 평가절 및 F000020/G0, F001232/G1.","[""R4.2:CONTROL:2:10"",""R4.2:P:853537"",""R4.2:P:853549"",""R4.1:MR1:csf:[\""18\""]"",""MR1:csf:[\""18\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",MR1_EXPLICIT_CLOSURE=false. 절 전체의 발화 문맥과 마지막 평가절을 구분한다. human ending을 MR1에 승격하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA012,2:11,2:11,,HUMAN_STRUCTURAL_ADJUDICATION,PARAGRAPH_ONSET,UNRESOLVED,[],[],שלשת רעי איוב; 2:10 종결 이후의 친구 집단 도입.,"[""R4.2:CONTROL:2:11"",""R4.2:P:853553"",""R4.2:P:853562""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance""]",새 단락 시작으로 연구자가 확정하였다. 아내 사건과 달리 2:1–10 안에 둘러싸이지 않는다. global parent는 미정.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA013,3:1,3:1,,HUMAN_STRUCTURAL_ADJUDICATION,PARAGRAPH_ONSET,HIERARCHICALLY_ABOVE,"[""3:2""]","[""HSA014""]",אחרי כן / פתח איוב את פיהו; 시간 및 발화 개시 표면 근거.,"[""R4.2:CONTROL:3:1"",""R4.2:P:853609""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance""]",MR1 marker 없음. 더 큰 전환의 human onset이며 MR1 사건을 만들거나 규칙을 변경하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA014,3:2,3:2,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,CONTINUES_WITHIN,"[""3:1""]","[""HSA013""]",ויען איוב ויאמר; 명시적 CSF.,"[""R4.2:CONTROL:3:2"",""R4.2:P:853616"",""R4.1:MR1:csf:[\""19\""]"",""MR1:csf:[\""19\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",3:1의 더 큰 전환 안에 놓인 speech-frame onset. 연구자가 판정한 포함 관계만 기록한다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA015,27:1,27:1,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""29:1""]","[""HSA016""]",ויסף ... שאת משלו ויאמר; 같은 언어학적 기능의 병행 발화 시작.,"[""R4.2:CONTROL:27:1"",""R4.2:P:857979"",""R4.1:MR1:csf:[\""39\""]"",""MR1:csf:[\""39\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",not macro-level does not mean subordinate. whole-book macro boundary가 아니라는 이유로 하위 단위라 하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA016,29:1,29:1,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""27:1""]","[""HSA015""]",ויסף ... שאת משלו ויאמר; 같은 언어학적 기능의 병행 발화 시작.,"[""R4.2:CONTROL:29:1"",""R4.2:P:858357"",""R4.1:MR1:csf:[\""41\""]"",""MR1:csf:[\""41\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",not macro-level does not mean subordinate. whole-book macro boundary가 아니라는 이유로 하위 단위라 하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA017,31:40,31:40,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_END,UNRESOLVED,[],[],תמו דברי איוב; MR1 explicit closure 및 HR1 CASE025.,"[""R4.2:CONTROL:31:40"",""R4.2:P:859056"",""R4.1:MR1:closure:[\""499623\"",\""499623\"",\""תממ+דבר\""]"",""R4.1:HR1:CASE025"",""MR1:closure:[\""499623\"",\""499623\"",\""תממ+דבר\""]"",""HR1:CASE025""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1"",""HR1 human-review scope""]",욥 발화의 명확한 끝. S02135를 포함한 모든 source evidence는 독립적으로 보존한다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA018,32:1,32:1,,HUMAN_STRUCTURAL_ADJUDICATION,TRANSITION_COMPONENT,UNRESOLVED,[],[],וישבתו ... מענות; MR1 explicit closure 및 HR1 CASE026.,"[""R4.2:CONTROL:32:1"",""R4.2:P:859059"",""R4.2:P:859061"",""R4.1:MR1:closure:[\""499624\"",\""499625\"",\""שבת+ענה\""]"",""R4.1:HR1:CASE026"",""MR1:closure:[\""499624\"",\""499625\"",\""שבת+ענה\""]"",""HR1:CASE026""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1"",""HR1 human-review scope""]",이전 answering/debate 관계의 종료. 욥 종결과 엘리후 도입 사이의 전환 구성요소이며 exact parent는 판정하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA019,32:2,32:5,,HUMAN_STRUCTURAL_ADJUDICATION,NARRATIVE_INTRODUCTION,UNRESOLVED,[],[],אליהוא בן ברכאל ...; 32:2–5의 참여자 및 서술 도입; HR1 CASE027.,"[""R4.2:CONTROL:32:2"",""R4.2:CONTROL:32:3"",""R4.2:CONTROL:32:4"",""R4.2:CONTROL:32:5"",""R4.2:P:859068"",""R4.2:P:859069"",""R4.2:P:859085"",""R4.2:P:859087"",""R4.2:P:859089"",""R4.2:P:859098"",""R4.1:HR1:CASE027"",""HR1:CASE027""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""HR1 human-review scope""]",엘리후의 narrative introduction. 32:6 실제 발화 시작과 구별하며 exact parent를 강제하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA020,32:6,32:6,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""34:1"",""35:1"",""36:1""]","[""HSA021"",""HSA022"",""HSA023""]",ויען ... ויאמר / ויסף ... ויאמר; 엘리후 네 연설의 병행 시작.,"[""R4.2:CONTROL:32:6"",""R4.2:P:859108"",""R4.1:MR1:csf:[\""43\""]"",""MR1:csf:[\""43\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",네 시작은 연구자가 동일 계층 sibling으로 판정하였다. 34:1/35:1/36:1을 32:6의 하위 발화로 두지 않는다. marker family만으로 이 관계를 계산하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA021,34:1,34:1,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""32:6"",""35:1"",""36:1""]","[""HSA020"",""HSA022"",""HSA023""]",ויען ... ויאמר / ויסף ... ויאמר; 엘리후 네 연설의 병행 시작.,"[""R4.2:CONTROL:34:1"",""R4.2:P:859489"",""R4.1:MR1:csf:[\""46\""]"",""MR1:csf:[\""46\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",네 시작은 연구자가 동일 계층 sibling으로 판정하였다. 34:1/35:1/36:1을 32:6의 하위 발화로 두지 않는다. marker family만으로 이 관계를 계산하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA022,35:1,35:1,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""32:6"",""34:1"",""36:1""]","[""HSA020"",""HSA021"",""HSA023""]",ויען ... ויאמר / ויסף ... ויאמר; 엘리후 네 연설의 병행 시작.,"[""R4.2:CONTROL:35:1"",""R4.2:P:859772"",""R4.1:MR1:csf:[\""47\""]"",""MR1:csf:[\""47\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",네 시작은 연구자가 동일 계층 sibling으로 판정하였다. 34:1/35:1/36:1을 32:6의 하위 발화로 두지 않는다. marker family만으로 이 관계를 계산하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA023,36:1,36:1,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""32:6"",""34:1"",""35:1""]","[""HSA020"",""HSA021"",""HSA022""]",ויען ... ויאמר / ויסף ... ויאמר; 엘리후 네 연설의 병행 시작.,"[""R4.2:CONTROL:36:1"",""R4.2:P:859894"",""R4.1:MR1:csf:[\""48\""]"",""MR1:csf:[\""48\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",네 시작은 연구자가 동일 계층 sibling으로 판정하였다. 34:1/35:1/36:1을 32:6의 하위 발화로 두지 않는다. marker family만으로 이 관계를 계산하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA024,37:24,37:24,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_END,UNRESOLVED,[],[],HR1 CASE028와 38:1 발화 시작 앞의 종결 문맥.,"[""R4.2:CONTROL:37:24"",""R4.2:P:860302"",""R4.1:HR1:CASE028"",""HR1:CASE028""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""HR1 human-review scope""]",엘리후 마지막 연설의 명확한 끝이라는 human judgment. 37:24 → 38:1 인접성은 직접적인 Elihu→YHWH discourse continuity를 확립하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA025,38:1,38:1,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""40:6""]","[""HSA028""]",ויען יהוה ... מן (ה)סערה ויאמר; fuller storm formula.,"[""R4.2:CONTROL:38:1"",""R4.2:P:860308"",""R4.2:P:860309"",""R4.1:MR1:csf:[\""50\""]"",""R4.1:HR1:CASE029"",""MR1:csf:[\""50\""]"",""HR1:CASE029""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1"",""HR1 human-review scope""]",여호와 두 주요 연설의 동일 계층 병행 시작. boundary와 discourse continuity는 별개이다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA026,40:1,40:1,,HUMAN_STRUCTURAL_ADJUDICATION,INTERNAL_SPEECH_ONSET,CHILD_OF,"[""38:1""]","[""HSA025""]",ויען יהוה את איוב ויאמר; 내부 발화 onset.,"[""R4.2:CONTROL:40:1"",""R4.2:P:860805"",""R4.2:P:860806"",""R4.1:MR1:csf:[\""52\""]"",""MR1:csf:[\""52\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",38:1에서 시작하는 첫 여호와 연설 아래에 속한다. 38:1/40:6과 동일 계층이 아니다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA027,40:3,40:3,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""42:1""]","[""HSA029""]",ויען איוב את יהוה ויאמר; 두 욥 응답의 발화 시작.,"[""R4.2:CONTROL:40:3"",""R4.2:P:860818"",""R4.2:P:860819"",""R4.1:MR1:csf:[\""53\""]"",""MR1:csf:[\""53\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",연구자가 두 응답을 동일 계층의 병행 단위로 판정하였다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA028,40:6,40:6,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""38:1""]","[""HSA025""]",ויען יהוה ... מן (ה)סערה ויאמר; fuller storm formula.,"[""R4.2:CONTROL:40:6"",""R4.2:P:860841"",""R4.2:P:860842"",""R4.1:MR1:csf:[\""54\""]"",""MR1:csf:[\""54\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",여호와 두 주요 연설의 동일 계층 병행 시작. boundary와 discourse continuity는 별개이다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA029,42:1,42:1,,HUMAN_STRUCTURAL_ADJUDICATION,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""40:3""]","[""HSA027""]",ויען איוב את יהוה ויאמר; 두 욥 응답의 발화 시작.,"[""R4.2:CONTROL:42:1"",""R4.2:P:861173"",""R4.2:P:861174"",""R4.1:MR1:csf:[\""55\""]"",""MR1:csf:[\""55\""]""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1""]",연구자가 두 응답을 동일 계층의 병행 단위로 판정하였다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA030,42:7,42:7,,HUMAN_STRUCTURAL_ADJUDICATION,PARAGRAPH_ONSET,UNRESOLVED,[],[],Wayhi-positive; SIMPLE_AMR; HR1 CASE030; participant/addressee 구성 변화.,"[""R4.2:CONTROL:42:7"",""R4.2:P:861222"",""R4.2:P:861223"",""R4.2:P:861224"",""R4.2:P:861227"",""R4.2:P:861228"",""R4.2:P:861236"",""R4.2:P:861237"",""R4.1:MR1:way0:[\""500411\""]"",""R4.1:MR1:csf:[\""56\""]"",""R4.1:HR1:CASE030"",""MR1:way0:[\""500411\""]"",""MR1:csf:[\""56\""]"",""HR1:CASE030""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance"",""R4.1"",""MR1"",""HR1 human-review scope""]","여호와–욥 교환 이후 새 단락. Wayhi, SIMPLE_AMR, CASE030은 서로 별도의 source evidence로 유지한다. global parent는 미정.",REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
HSA031,42:16,42:16,,HUMAN_STRUCTURAL_ADJUDICATION,NO_BOUNDARY,CONTINUES_WITHIN,"[""42:7""]","[""HSA030""]",새 구조 단위를 확립할 명시적 언어학적 구조 표지가 없음.,"[""R4.2:CONTROL:42:16"",""R4.2:P:861357""]","[""BHSA2021 snapshot"",""R4.2"",""R3c.3/PROV1 exact formal provenance""]",42:7에서 시작한 단락의 연속. 생애 요약이라는 의미/내용만으로 경계를 만들지 않는다. overt participant mention이나 formal occurrence의 부재를 주장하지 않는다.,REVIEWED,연구자 HSA1 지시문의 확정 판단. 미검토 범위로 일반화하지 않음.
