judgment_id,reference_start,reference_end,primary_anchor_atom_if_known,judgment_type,structural_function,hierarchy_relation,related_reference,related_judgment_id_if_available,linguistic_basis,source_evidence_ids,source_layers,methodological_note,review_status,reviewer_notes,human_speaker,human_group,higher_order_function,direct_closure_target,higher_order_terminal_effect
HSA2-C2-S4,19:1,19:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""15:1"",""16:1"",""18:1"",""20:1"",""21:1""]","[""HSA2-C2-S1"",""HSA2-C2-S2"",""HSA2-C2-S3"",""HSA2-C2-S5"",""HSA2-C2-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Job.,"[""HSA2:PANEL:19:1"",""R4.2:P:856608"",""R4.1:MR1:csf:[\""30\""]"",""MR1:csf:[\""30\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 2. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,CYCLE_2,,,
HSA2-C2-S5,20:1,20:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""15:1"",""16:1"",""18:1"",""19:1"",""21:1""]","[""HSA2-C2-S1"",""HSA2-C2-S2"",""HSA2-C2-S3"",""HSA2-C2-S4"",""HSA2-C2-S6""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Zophar.,"[""HSA2:PANEL:20:1"",""R4.2:P:856832"",""R4.1:MR1:csf:[\""31\""]"",""MR1:csf:[\""31\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 2. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Zophar,CYCLE_2,,,
HSA2-C2-S6,21:1,21:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""15:1"",""16:1"",""18:1"",""19:1"",""20:1""]","[""HSA2-C2-S1"",""HSA2-C2-S2"",""HSA2-C2-S3"",""HSA2-C2-S4"",""HSA2-C2-S5""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Job.,"[""HSA2:PANEL:21:1"",""R4.2:P:857027"",""R4.1:MR1:csf:[\""32\""]"",""MR1:csf:[\""32\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 2. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,CYCLE_2,,,
HSA2-C3-S1,22:1,22:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""23:1"",""25:1"",""26:1""]","[""HSA2-C3-S2"",""HSA2-C3-S3"",""HSA2-C3-S4""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Eliphaz.,"[""HSA2:PANEL:22:1"",""R4.2:P:857284"",""R4.1:MR1:csf:[\""34\""]"",""MR1:csf:[\""34\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 3. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Eliphaz,CYCLE_3,,,
HSA2-C3-S2,23:1,23:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""22:1"",""25:1"",""26:1""]","[""HSA2-C3-S1"",""HSA2-C3-S3"",""HSA2-C3-S4""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Job.,"[""HSA2:PANEL:23:1"",""R4.2:P:857514"",""R4.1:MR1:csf:[\""36\""]"",""MR1:csf:[\""36\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 3. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,CYCLE_3,,,
HSA2-C3-S3,25:1,25:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""22:1"",""23:1"",""26:1""]","[""HSA2-C3-S1"",""HSA2-C3-S2"",""HSA2-C3-S4""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Bildad.,"[""HSA2:PANEL:25:1"",""R4.2:P:857847"",""R4.1:MR1:csf:[\""37\""]"",""MR1:csf:[\""37\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same-level parallel speech unit within Cycle 3. Human cycle membership does not redefine the MR1 marker type.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Bildad,CYCLE_3,,,
HSA2-C3-S4,26:1,26:1,,HUMAN_SPEECH_UNIT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""22:1"",""23:1"",""25:1""]","[""HSA2-C3-S1"",""HSA2-C3-S2"",""HSA2-C3-S3""]",Historical ANSWER+AMR formula; researcher-adjudicated speaker position Job.,"[""HSA2:PANEL:26:1"",""R4.2:P:857892"",""R4.1:MR1:csf:[\""38\""]"",""MR1:csf:[\""38\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]","Same-level parallel speech unit within Cycle 3. Final Job speech onset within incomplete third cycle. No closing edge is inferred after chapter 26; 26:1 remains ANSWER+AMR, unlike 27:1 TAKE_MASHAL+AMR.",REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,CYCLE_3,,,
HSA2-CYCLE-1,4:1,4:1,,HUMAN_CYCLE_ONSET,DIALOGUE_CYCLE_ONSET,SAME_LEVEL_SIBLING,"[""15:1"",""22:1""]","[""HSA2-CYCLE-2"",""HSA2-CYCLE-3""]",Same MR1 ANSWER+AMR formula + recurring speaker-position pattern + human adjudication.,"[""HSA2:PANEL:4:1"",""R4.2:P:853815"",""R4.1:MR1:csf:[\""20\""]"",""MR1:csf:[\""20\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Six reviewed speeches: Eliphaz → Job → Bildad → Job → Zophar → Job. Cycles 1 and 2 repeat this speaker sequence by human judgment.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,,CYCLE_1,DIALOGUE_CYCLE_ONSET,,
HSA2-CYCLE-2,15:1,15:1,,HUMAN_CYCLE_ONSET,DIALOGUE_CYCLE_ONSET,SAME_LEVEL_SIBLING,"[""4:1"",""22:1""]","[""HSA2-CYCLE-1"",""HSA2-CYCLE-3""]",Same MR1 ANSWER+AMR formula + recurring speaker-position pattern + human adjudication.,"[""HSA2:PANEL:15:1"",""R4.2:P:855909"",""R4.1:MR1:csf:[\""27\""]"",""MR1:csf:[\""27\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Six reviewed speeches: Eliphaz → Job → Bildad → Job → Zophar → Job. Cycles 1 and 2 repeat this speaker sequence by human judgment.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,,CYCLE_2,DIALOGUE_CYCLE_ONSET,,
HSA2-CYCLE-3,22:1,22:1,,HUMAN_CYCLE_ONSET,DIALOGUE_CYCLE_ONSET,SAME_LEVEL_SIBLING,"[""4:1"",""15:1""]","[""HSA2-CYCLE-1"",""HSA2-CYCLE-2""]",Same MR1 ANSWER+AMR formula + recurring speaker-position pattern + human adjudication.,"[""HSA2:PANEL:22:1"",""R4.2:P:857284"",""R4.1:MR1:csf:[\""34\""]"",""MR1:csf:[\""34\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Third cycle exists and is structurally incomplete relative to cycles 1 and 2. No corresponding third Zophar speech is present; no virtual unit or missing onset is supplied.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,,CYCLE_3,DIALOGUE_CYCLE_ONSET,,
HSA2-INTERNAL-11-4,11:4,11:4,,HUMAN_INTERNAL_EXPRESSION,INTERNAL_SPEECH_EXPRESSION,CONTINUES_WITHIN,"[""11:1""]","[""HSA2-C1-S5""]",Historical SIMPLE_AMR source event remains separate from 11:1 ANSWER+AMR.,"[""HSA2:PANEL:11:4"",""R4.1:MR1:csf:[\""25\""]"",""MR1:csf:[\""25\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Embedded/internal speech expression within the 11:1 speech; not a peer speech-unit onset. Source identity retained.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,,CYCLE_1,,,
HSA2-JOB-27,27:1,27:1,,HUMAN_POST_DIALOGUE_CONTEXT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""29:1""]","[""HSA2-JOB-29""]",ויסף איוב שאת משלו ויאמר; historical TAKE_MASHAL+AMR.,"[""HSA2:PANEL:27:1"",""R4.2:P:857979"",""R4.1:MR1:csf:[\""39\""]"",""MR1:csf:[\""39\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Same linguistic function and same-level onset as 29:1; begins a Job speech group structurally distinguished from the preceding dialogue cycles. HSA1 peer relation unchanged.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,POST_DIALOGUE_JOB,POST_DIALOGUE_JOB_SPEECH_GROUP_ONSET,,
HSA2-JOB-29,29:1,29:1,,HUMAN_POST_DIALOGUE_CONTEXT,SPEECH_UNIT_ONSET,SAME_LEVEL_SIBLING,"[""27:1""]","[""HSA2-JOB-27""]",ויסף איוב שאת משלו ויאמר; historical TAKE_MASHAL+AMR.,"[""HSA2:PANEL:29:1"",""R4.2:P:858357"",""R4.1:MR1:csf:[\""41\""]"",""MR1:csf:[\""41\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]",Parallel same-level speech-unit onset; not a child of 27:1. HSA1 judgment retained.,REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,POST_DIALOGUE_JOB,,,
HSA2-NO-28,28:1,28:1,,HUMAN_CONTINUATION,NO_BOUNDARY,CONTINUES_WITHIN,"[""27:1""]","[""HSA2-JOB-27""]",No explicit structural onset marker has been established at 28:1.,"[""HSA2:PANEL:28:1""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]","Job 28 continues within the speech unit beginning at 27:1. Semantic/content distinctiveness alone is insufficient. This is a human continuation judgment, not an MR1 negative rule.",REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,,POST_DIALOGUE_JOB,,,
HSA2-END-31,31:40,31:40,,HUMAN_ENDING_WITH_UNRESOLVED_TARGET,SPEECH_UNIT_END,UNRESOLVED,[],[],תמו דברי איוב; MR1 explicit closure and HR1 CASE025.,"[""HSA2:PANEL:31:40"",""R4.2:P:859056"",""R4.1:HR1:CASE025"",""R4.1:MR1:closure:[\""499623\"",\""499623\"",\""תממ+דבר\""]"",""HR1:CASE025"",""MR1:closure:[\""499623\"",\""499623\"",\""תממ+דבר\""]""]","[""BHSA2021 accepted snapshot"",""MR1 where present"",""R4.1"",""R4.2"",""R3c.3/PROV1"",""HR1 where present""]","Clear speech ending. Does it directly close 29:1 while secondarily terminating the larger 27:1–31:40 group, or directly close the complex beginning at 27:1? Neither target is settled. Local and enclosing effects may coexist.",REVIEWED,Researcher-supplied HSA2 adjudication; append-only; no automatic closure-target decision.,Job,POST_DIALOGUE_JOB,,UNRESOLVED,UNRESOLVED
