case_id,case_type,form_assessment,sufficient_context,observable_behavior,recurring_context,exceptions,additional_information_needed,reviewer_notes,review_status,review_time_seconds,source,date,automated_judgment,review_time_measurement,structural_rhetorical_function_labels,form_assessment_provenance,source_document_sha256,baseline_commit
CASE011,LOW_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,욥에 대한 동일 평가까지 포함하여 8단위 병행이 유지된다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE012,LOW_OCCURRENCE_BUNDLE,CLEAR,YES,,,,,"작은 전치사 차이에도 9단위 장면 병행은 명확하다.
CASE007–012는 하나의 확장 sequence 계열로 이해한다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE013,RANDOM_BUNDLE,CLEAR,YES,,,,,"동일 verbal morphology 11개 중 `접속 + 부정 + 동사` 구성 3개가 G2에서 남는 과정이 자연스럽다.
G3에서는 빈 core-argument component `[]`가 추가되어도 세 occurrence가 유지되고, G4의 동사 lexeme에서 분리된다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE014,RANDOM_BUNDLE,PARTIAL,PARTIAL,,,,,"두 clause_atom 배열을 형식적 집단으로 볼 수 있다.
다소 추상적이지만 히브리 시의 평행법을 고려하면 이해 가능하다.
그러나 실제 평행 기능을 주장하려면 문맥 검토가 필요하다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE015,RANDOM_BUNDLE,CLEAR,YES,,,,,`접속 요소 + 명사적 표현`이라는 형식이 눈에 들어오며 26개에서 12개로 좁아지는 과정도 납득된다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE016,RANDOM_BUNDLE,INSUFFICIENT,YES,,,,,동일 기본 문장형과 Piel 미완료 2ms라는 형태론적 공통성은 있으나 하나의 반복 형식으로 보기에는 추상적이다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE017,RANDOM_BUNDLE,PARTIAL,YES,,,,,"비동사 서술이라는 넓은 공통성은 있으나 52개 내부의 실제 형식이 다양하다.
인간 판정상 INSUFFICIENT에 가까운 PARTIAL 사례다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE018,RANDOM_BUNDLE,CLEAR,YES,,,,,"`비동사형 문장 → 2ms Qal 명령`이라는 두 단위 연쇄는 실제로 눈에 띈다.
동일한 담화 기능 여부는 문맥에서 별도로 판단한다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE019,SINGLETON_OUTCOME,CLEAR,YES,,,,,"S02135는 G2까지 Job 19:14와 동일하지만 G3의 subject NP word-class realization 차이로 count가 2→1이 된다.
singleton 이유가 실제 본문에서 확인된다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE020,SINGLETON_OUTCOME,CLEAR,YES,,,,,같은 부정사/명사구 계열 6개 중 명사구의 성·수·구성을 추가하면서 Job 17:6이 하나로 갈리는 과정은 자연스럽다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE021,SINGLETON_OUTCOME,PARTIAL,PARTIAL,,,,,"Job 9:4가 두 동사형 조합 때문에 singleton이 되는 이유는 설명 가능하다.
그러나 그 유일성은 우연한 형태론 조합일 가능성이 있다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE022,SINGLETON_OUTCOME,PARTIAL,PARTIAL,,,,,"Job 22:7이 constituent 배열 때문에 singleton이 되는 과정은 이해된다.
독특한 형식인지 우연한 희귀 조합인지는 애매하다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE023,SINGLETON_OUTCOME,CLEAR,YES,,,,,"Job 35:3의 `의문사 + 동사 + 전치사구` 배열은 구체적이며 singleton 형성 이유가 명확하다.
형식적 유일성과 구조적 중요성은 구분한다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE024,SINGLETON_OUTCOME,PARTIAL,PARTIAL,,,,,"두 4단위 sequence가 같은 morphology 골격을 공유하다 constituent shape에서 갈라지는 refinement는 납득된다.
Job 42 문맥에서 실제 서술 패턴인지 확인이 필요하다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE025,BOUNDARY_CONTROL,CLEAR,YES,,,,,"Job 31:40 `תמו דברי איוב`은 욥 발화의 명확한 종결 경계다.
관련 23개 unit을 하나의 대표 pattern으로 축소하지 않는 방식이 적절하다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE026,BOUNDARY_CONTROL,CLEAR,YES,,,,,Job 32:1은 31:40의 종결을 이어받아 친구들의 응답 중단을 명시하고 32:2로 넘기는 전환절로 보는 것이 자연스럽다.,REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE027,BOUNDARY_CONTROL,CLEAR,YES,,,,,"Job 32:2는 엘리후 등장부의 명확한 시작이다.
`31:40 종결 → 32:1 기존 논쟁 종결/전환 → 32:2 엘리후 도입`의 흐름이 자연스럽다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE028,BOUNDARY_CONTROL,CLEAR,YES,,,,,"Job 37:24는 엘리후 연설의 명확한 종결점이다.
그러나 이것이 엘리후→여호와의 직접 담화 연속성을 의미하지는 않는다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE029,BOUNDARY_CONTROL,CLEAR,YES,,,,,"Job 38:1은 여호와 연설의 명확한 시작점이다.
`ויען יהוה את־איוב`이므로 명시적 수신자는 욥이다.
엘리후 발화를 단순히 이어받는 것으로 해석하지 않는다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
CASE030,BOUNDARY_CONTROL,CLEAR,YES,,,,,"Job 42:7은 하나님–욥 대화를 닫고 하나님–친구들 장면을 시작하는 명확한 전환이다.
`ויהי אחר דבר...`도 이 전환을 뒷받침한다.",REVIEWED,,human researcher adjudication,2026-09-21,none,not measured,not automatically assigned,human-authored adjudication value,1de93dd7cf524de5ab9bf9e0c4450d5715aee0649b32aa021069152f63a360f4,8c87fc33f612326eca0ee2ed0b8781451297c85b
